日期,最高气温,最低气温,天气,风向,风力
2015-01-01星期四,5℃,-4℃,晴,西北风~西风,微风
2015-01-02星期五,9℃,-2℃,晴~多云,西南风~东风,微风
2015-01-03星期六,13℃,2℃,多云,南风~东风,微风
2015-01-04星期日,16℃,1℃,晴,东南风,3-4级
2015-01-05星期一,14℃,5℃,阴~小雨,东南风~北风,3-4级~4-5级
2015-01-06星期二,7℃,-1℃,小雨~雨夹雪,北风,3-4级
2015-01-07星期三,7℃,-3℃,多云~晴,北风~西北风,微风
2015-01-08星期四,8℃,-2℃,晴~多云,西北风,微风
2015-01-09星期五,12℃,0℃,多云,西南风,微风
2015-01-10星期六,14℃,1℃,多云~晴,西南风~西风,微风
2015-01-11星期日,14℃,0℃,晴,东北风,微风
2015-01-12星期一,8℃,1℃,多云~阴,东风,微风
2015-01-13星期二,7℃,4℃,小雨,东风~东北风,微风
2015-01-14星期三,8℃,4℃,阴~多云,北风~西北风,3-4级~微风
2015-01-15星期四,9℃,3℃,多云,北风,微风
2015-01-16星期五,9℃,-1℃,多云~晴,北风,微风
2015-01-17星期六,6℃,-2℃,晴~多云,东北风~东风,微风
2015-01-18星期日,8℃,0℃,多云,东南风~西南风,微风
2015-01-19星期一,11℃,0℃,晴~多云,西风~东南风,微风
2015-01-20星期二,11℃,3℃,阴,东南风~南风,微风
2015-01-21星期三,12℃,0℃,多云,北风,3-4级~微风
2015-01-22星期四,6℃,-2℃,多云~晴,西北风,3-4级~微风
2015-01-23星期五,11℃,-1℃,多云,东南风~东风,微风
2015-01-24星期六,15℃,3℃,多云~阴,东风,3-4级
2015-01-25星期日,11℃,6℃,小雨,西风~东北风,微风
2015-01-26星期一,9℃,3℃,阴,北风,3-4级~4-5级
2015-01-27星期二,6℃,0℃,雨夹雪,东北风,4-5级~3-4级
2015-01-28星期三,3℃,-1℃,小雪~大雪,东风~东北风,3-4级
2015-01-29星期四,2℃,-1℃,中雪~小雪,东北风,微风
2015-01-30星期五,3℃,-2℃,阴~多云,北风~东北风,微风
2015-01-31星期六,5℃,-1℃,多云~阴,东北风,微风
2015-02-01星期日,4℃,0℃,阴,东北风~东风,微风
2015-02-02星期一,7℃,2℃,阴,东北风,微风
2015-02-03星期二,6℃,2℃,小雨~多云,北风,微风
2015-02-04星期三,6℃,-1℃,多云~晴,西北风,3-4级
2015-02-05星期四,8℃,-2℃,晴,北风~无持续风向,微风
2015-02-06星期五,9℃,-2℃,多云~晴,西南风~西风,3-4级
2015-02-07星期六,12℃,0℃,多云,西南风~北风,微风~4-5级
2015-02-08星期日,6℃,-4℃,晴,东北风~东风,3-4级~微风
2015-02-09星期一,6℃,-4℃,晴,东南风,微风
2015-02-10星期二,11℃,0℃,晴,南风,3级
2015-02-11星期三,15℃,2℃,晴~多云,西南风~西北风,微风
2015-02-12星期四,12℃,1℃,多云,西风~东风,微风
2015-02-13星期五,14℃,2℃,晴,东风~东南风,微风
2015-02-14星期六,19℃,5℃,多云~阵雨,东南风,微风
2015-02-15星期日,14℃,9℃,小雨~阴,东南风~西北风,微风
2015-02-16星期一,15℃,3℃,多云~晴,西北风~东北风,3-4级
2015-02-17星期二,14℃,3℃,晴,东北风,微风
2015-02-18星期三,12℃,0℃,晴,东北风,3-4级
2015-02-19星期四,11℃,2℃,多云~阴,东南风,3-4级
2015-02-20星期五,10℃,6℃,小雨~小到中雨,东南风~西北风,3-4级~微风
2015-02-21星期六,10℃,4℃,阴~多云,北风,3-4级
2015-02-22星期日,9℃,4℃,多云~小雨,西风~东风,3-4级
2015-02-23星期一,9℃,2℃,阴,东风~东南风,微风
2015-02-24星期二,12℃,6℃,多云~小雨,东南风,微风
2015-02-25星期三,11℃,6℃,小雨~阴,东风~北风,微风
2015-02-26星期四,10℃,4℃,阴~小雨,东北风,微风~3-4级
2015-02-27星期五,6℃,2℃,小到中雨~中雨,东风,4-5级
2015-02-28星期六,4℃,1℃,中雨~阴,东北风,4-5级~3-4级
2015-03-01星期日,10℃,2℃,多云~晴,西风,3-4级
2015-03-02星期一,13℃,4℃,多云~小雨,南风,3-4级
2015-03-03星期二,12℃,1℃,多云,西北风~东北风,4-5级~3-4级
2015-03-04星期三,6℃,1℃,多云~阴,东北风~东风,3-4级~微风
2015-03-05星期四,6℃,2℃,雨夹雪,东风,微风
2015-03-06星期五,8℃,2℃,多云,东风,微风
2015-03-07星期六,11℃,5℃,多云~阴,东南风,微风
2015-03-08星期日,10℃,5℃,小雨~阴,东风~北风,微风~4-5级
2015-03-09星期一,10℃,-1℃,多云,北风,4-5级~3-4级
2015-03-10星期二,7℃,-1℃,多云,东风~东南风,微风
2015-03-11星期三,12℃,2℃,多云,南风,微风
2015-03-12星期四,16℃,5℃,晴,南风~西南风,微风
2015-03-13星期五,20℃,7℃,多云,西风~东风,微风
2015-03-14星期六,12℃,8℃,小雨,东北风~东风,3-4级
2015-03-15星期日,14℃,9℃,阴~多云,东风,3-4级
2015-03-16星期一,15℃,9℃,多云~阴,东南风,微风
2015-03-17星期二,16℃,12℃,中雨~大雨,东南风~东风,微风
2015-03-18星期三,13℃,8℃,小雨,北风,微风
2015-03-19星期四,14℃,10℃,阴~小雨,东北风,微风
2015-03-20星期五,14℃,8℃,小雨~阴,东北风,3-4级
2015-03-21星期六,20℃,9℃,多云~晴,西风,3-4级
2015-03-22星期日,21℃,7℃,晴~多云,东风,3-4级
2015-03-23星期一,15℃,7℃,阴~多云,东风,3-4级
2015-03-24星期二,16℃,6℃,多云,东南风,3-4级
2015-03-25星期三,16℃,7℃,多云,东风,3-4级
2015-03-26星期四,15℃,8℃,阴~小雨,东风,微风
2015-03-27星期五,16℃,8℃,阵雨~多云,东风~东南风,3-4级
2015-03-28星期六,21℃,9℃,多云,西南风~西风,微风
2015-03-29星期日,23℃,14℃,多云~阴,东南风,微风
2015-03-30星期一,22℃,14℃,多云~阴,东南风,微风
2015-03-31星期二,26℃,18℃,多云,南风~东风,3-4级
2015-04-01星期三,17℃,13℃,阴,东风,4-5级
2015-04-02星期四,27℃,12℃,雷雨,南风~北风,4-5级~3-4级
2015-04-03星期五,15℃,9℃,阴~小雨,东北风~东风,微风
2015-04-04星期六,13℃,10℃,雷雨,东风,3-4级
2015-04-05星期日,13℃,9℃,中雨,东北风,3-4级
2015-04-06星期一,12℃,5℃,雷雨,东北风,4-5级
2015-04-07星期二,8℃,3℃,阵雨~阴,东北风,3-4级
2015-04-08星期三,13℃,4℃,多云,东北风~东风,3-4级
2015-04-09星期四,16℃,6℃,多云,东风,微风
2015-04-10星期五,17℃,7℃,晴,东风,微风
2015-04-11星期六,19℃,9℃,多云,东南风,微风
2015-04-12星期日,21℃,7℃,雷雨~阴,西北风,5-6级
2015-04-13星期一,14℃,7℃,阵雨~小雨,西北风,4-5级~3-4级
2015-04-14星期二,19℃,6℃,多云~晴,西风~西南风,4-5级~3-4级
2015-04-15星期三,22℃,13℃,多云,西南风~西北风,3-4级
2015-04-16星期四,22℃,10℃,晴,北风~东南风,4-5级
2015-04-17星期五,23℃,13℃,阴,东南风,3-4级
2015-04-18星期六,24℃,16℃,阴~雷雨,东风~北风,4-5级~3-4级
2015-04-19星期日,19℃,10℃,小雨~中雨,东北风~北风,3-4级~4-5级
2015-04-20星期一,17℃,8℃,阴~多云,北风,3-4级~微风
2015-04-21星期二,20℃,8℃,多云,东风,微风
2015-04-22星期三,25℃,12℃,多云,西风~无持续风向,微风
2015-04-23星期四,27℃,13℃,多云,东南风,微风
2015-04-24星期五,26℃,13℃,晴,东南风~东风,微风
2015-04-25星期六,28℃,14℃,晴~多云,东南风,微风
2015-04-26星期日,28℃,16℃,晴,南风,3-4级
2015-04-27星期一,28℃,18℃,多云~阴,南风,微风
2015-04-28星期二,30℃,17℃,雷雨,西南风,4-5级
2015-04-29星期三,22℃,14℃,阴~多云,东北风,微风
2015-04-30星期四,25℃,14℃,晴~多云,东北风~东风,微风
2015-05-01星期五,27℃,17℃,多云~小到中雨,东南风~东风,3-4级
2015-05-02星期六,21℃,14℃,中雨~阴,北风,4-5级~微风
2015-05-03星期日,25℃,15℃,多云,东风~东北风,微风
2015-05-04星期一,23℃,12℃,多云,东风,3-4级
2015-05-05星期二,25℃,15℃,多云~阴,东南风,微风
2015-05-06星期三,22℃,16℃,阵雨~多云,南风~东风,微风
2015-05-07星期四,27℃,17℃,多云,东南风,3-4级
2015-05-08星期五,25℃,16℃,雷雨~阵雨,东南风~东风,3-4级
2015-05-09星期六,24℃,15℃,多云,东风~东南风,3-4级
2015-05-10星期日,26℃,17℃,多云~小到中雨,东南风,4-5级
2015-05-11星期一,22℃,13℃,中雨~多云,西风~西南风,4-5级~3-4级
2015-05-12星期二,26℃,15℃,多云,西南风,4-5级
2015-05-13星期三,29℃,20℃,晴~多云,西南风,4-5级~3-4级
2015-05-14星期四,31℃,22℃,多云~中雨,南风~西北风,微风
2015-05-15星期五,25℃,16℃,小到中雨~阴,南风~东北风,3-4级
2015-05-16星期六,24℃,15℃,多云,东风,3-4级
2015-05-17星期日,26℃,18℃,多云~雷雨,东南风~南风,3-4级~微风
2015-05-18星期一,25℃,17℃,小雨~多云,东风~西风,3-4级
2015-05-19星期二,29℃,19℃,多云,东南风,微风
2015-05-20星期三,27℃,15℃,多云,东北风~东风,3-4级
2015-05-21星期四,25℃,15℃,晴~多云,东风,微风
2015-05-22星期五,26℃,17℃,多云~阴,东南风~东风,3-4级~微风
2015-05-23星期六,26℃,18℃,阴~多云,东风,微风
2015-05-24星期日,27℃,19℃,多云,东风~东南风,3-4级
2015-05-25星期一,29℃,19℃,晴~多云,东风,微风
2015-05-26星期二,27℃,20℃,多云~阴,东南风,3-4级
2015-05-27星期三,22℃,17℃,阵雨,东风,3-4级
2015-05-28星期四,27℃,20℃,阴,东风,3-4级
2015-05-29星期五,23℃,20℃,中到大雨~中雨,东风,微风
2015-05-30星期六,26℃,19℃,多云~晴,北风~东北风,3-4级
2015-05-31星期日,27℃,19℃,多云,东风~东南风,微风
2015-06-01星期一,31℃,23℃,多云~雷雨,东南风,3-4级
2015-06-02星期二,25℃,19℃,暴雨~小到中雨,东风,3-4级~4-5级
2015-06-03星期三,26℃,16℃,阴~晴,东北风~东风,3-4级~微风
2015-06-04星期四,26℃,19℃,多云,东风~东南风,微风
2015-06-05星期五,28℃,19℃,晴,西南风,3-4级
2015-06-06星期六,32℃,21℃,多云,东南风,微风
2015-06-07星期日,27℃,21℃,雷雨~大雨,东南风~东风,4-5级
2015-06-08星期一,27℃,20℃,阴,东风,微风
2015-06-09星期二,29℃,22℃,阴,东南风,微风
2015-06-10星期三,28℃,21℃,阴~多云,南风~西南风,微风
2015-06-11星期四,33℃,22℃,多云,西南风,3-4级
2015-06-12星期五,34℃,23℃,晴~多云,西南风,微风
2015-06-13星期六,33℃,25℃,多云,西南风,微风
2015-06-14星期日,32℃,23℃,多云~阴,西风~南风,微风
2015-06-15星期一,28℃,21℃,雷雨,东风,微风
2015-06-16星期二,21℃,18℃,大雨~暴雨,东风,3-4级~4-5级
2015-06-17星期三,22℃,18℃,小雨~阴,东风,3-4级
2015-06-18星期四,28℃,19℃,多云,东北风~东南风,3-4级
2015-06-19星期五,29℃,21℃,多云,东南风~东风,微风
2015-06-20星期六,30℃,21℃,多云~阴,东风,微风
2015-06-21星期日,26℃,21℃,阵雨,东风,3-4级
2015-06-22星期一,26℃,21℃,阴,东南风,微风
2015-06-23星期二,25℃,23℃,阵雨~小雨,东风,3-4级
2015-06-24星期三,26℃,22℃,小雨~小到中雨,东风,3-4级
2015-06-25星期四,30℃,23℃,阴~中雨,西风,3-4级
2015-06-26星期五,26℃,21℃,雷雨~大雨,西北风~南风,微风~3-4级
2015-06-27星期六,23℃,19℃,暴雨,东风,3-4级
2015-06-28星期日,24℃,21℃,中到大雨~小雨,东风,3-4级
2015-06-29星期一,24℃,21℃,大雨~雷雨,东南风~西风,3-4级
2015-06-30星期二,27℃,21℃,中到大雨~小雨,西北风,3-4级
2015-07-01星期三,29℃,21℃,多云~晴,西风,微风
2015-07-02星期四,32℃,23℃,多云,东南风,3-4级
2015-07-03星期五,30℃,21℃,多云,东风,微风
2015-07-04星期六,28℃,19℃,阴,东风,3-4级
2015-07-05星期日,28℃,19℃,阴,东风,3-4级
2015-07-06星期一,22℃,18℃,小雨~中到大雨,东北风,3-4级
2015-07-07星期二,24℃,19℃,雷雨,东北风,3-4级
2015-07-08星期三,24℃,20℃,小到中雨~小雨,东北风,3-4级
2015-07-09星期四,27℃,22℃,阴,东北风,3-4级
2015-07-10星期五,31℃,24℃,阴~阵雨,东风,3-4级~4-5级
2015-07-11星期六,27℃,23℃,大雨~大到暴雨,东北风~北风,6-7级
2015-07-12星期日,29℃,23℃,阴~多云,西北风~西风,5-6级~4-5级
2015-07-13星期一,35℃,25℃,多云,西南风~东风,3-4级
2015-07-14星期二,35℃,25℃,晴~多云,东南风~无持续风向,微风
2015-07-15星期三,32℃,24℃,多云,东风,微风
2015-07-16星期四,29℃,23℃,雷阵雨~小到中雨,东风,3-4级
2015-07-17星期五,25℃,22℃,中雨,东风,4-5级
2015-07-18星期六,27℃,23℃,雷阵雨,东风,3-4级
2015-07-19星期日,26℃,24℃,大雨~小雨,东风~东北风,微风
2015-07-20星期一,28℃,24℃,阴,东风,微风
2015-07-21星期二,30℃,24℃,多云,东风,3-4级
2015-07-22星期三,31℃,25℃,多云~阴,东风,3-4级
2015-07-23星期四,31℃,25℃,雷阵雨,东北风,3-4级
2015-07-24星期五,28℃,24℃,中雨,东北风,3-4级
2015-07-25星期六,29℃,25℃,中雨~小雨,南风,微风
2015-07-26星期日,32℃,26℃,雷阵雨~多云,西南风,微风
2015-07-27星期一,35℃,27℃,多云,西南风,3-4级
2015-07-28星期二,36℃,27℃,多云~晴,西南风,3-4级
2015-07-29星期三,37℃,28℃,多云,西南风,3-4级
2015-07-30星期四,35℃,27℃,晴~多云,南风,3-4级
2015-07-31星期五,35℃,27℃,晴,南风,微风
2015-08-01星期六,35℃,27℃,阴~多云,东南风~西南风,微风
2015-08-02星期日,37℃,28℃,晴,西南风,微风
2015-08-03星期一,37℃,28℃,晴,西南风,微风
2015-08-04星期二,37℃,28℃,晴,西南风~南风,3-4级
2015-08-05星期三,37℃,28℃,多云,南风,微风
2015-08-06星期四,35℃,26℃,多云,东南风~东风,微风~3-4级
2015-08-07星期五,34℃,26℃,多云,东风,3-4级
2015-08-08星期六,33℃,26℃,多云~雷阵雨,东风,4-5级
2015-08-09星期日,30℃,25℃,雷阵雨~小到中雨,东风,4-5级~5-6级
2015-08-10星期一,28℃,24℃,暴雨~小到中雨,东风~西风,6-7级~4-5级
2015-08-11星期二,28℃,23℃,阴~多云,西北风~西风,4-5级~3-4级
2015-08-12星期三,31℃,23℃,多云,东北风~东风,微风
2015-08-13星期四,30℃,23℃,多云,东风~东南风,3-4级
2015-08-14星期五,32℃,23℃,多云,东南风~东风,微风
2015-08-15星期六,30℃,24℃,阴,东风,微风
2015-08-16星期日,30℃,23℃,多云~晴,东风,微风
2015-08-17星期一,31℃,24℃,多云,东风,3-4级
2015-08-18星期二,30℃,23℃,多云,东风,3-4级
2015-08-19星期三,30℃,24℃,阴~大雨,东风,3-4级
2015-08-20星期四,26℃,23℃,阵雨~阴,西风~北风,3-4级~微风
2015-08-21星期五,29℃,23℃,阴~多云,北风,微风
2015-08-22星期六,28℃,21℃,阴,东风,微风
2015-08-23星期日,28℃,21℃,阴,东风,3-4级
2015-08-24星期一,24℃,20℃,小到中雨~多云,东北风~北风,4-5级~3-4级
2015-08-25星期二,29℃,21℃,多云,西北风,微风
2015-08-26星期三,30℃,22℃,多云,西风,微风
2015-08-27星期四,30℃,22℃,阵雨~多云,东北风,微风
2015-08-28星期五,30℃,22℃,多云,北风,3-4级
2015-08-29星期六,31℃,22℃,多云,东北风~东风,3-4级
2015-08-30星期日,31℃,22℃,多云,东风,微风
2015-08-31星期一,30℃,22℃,多云,东风~东南风,微风
2015-09-01星期二,29℃,22℃,雷阵雨~多云,东风,3-4级
2015-09-02星期三,30℃,22℃,多云,西北风,3-4级
2015-09-03星期四,29℃,22℃,多云,西北风~东风,微风
2015-09-04星期五,30℃,23℃,阴~中雨,东风,微风
2015-09-05星期六,28℃,22℃,阴~多云,北风,微风
2015-09-06星期日,28℃,21℃,多云,北风,微风
2015-09-07星期一,28℃,21℃,多云,北风~东北风,3-4级
2015-09-08星期二,28℃,20℃,多云,东北风,3-4级
2015-09-09星期三,28℃,19℃,晴~多云,东风,微风
2015-09-10星期四,28℃,20℃,晴~多云,东北风,微风
2015-09-11星期五,27℃,20℃,多云~阵雨,北风,微风
2015-09-12星期六,24℃,16℃,阴~多云,北风,4-5级~3-4级
2015-09-13星期日,25℃,17℃,多云,东北风~东风,微风
2015-09-14星期一,26℃,20℃,多云,东风,微风
2015-09-15星期二,26℃,18℃,阴~多云,东风,3-4级
2015-09-16星期三,27℃,18℃,多云~晴,东北风~东风,3-4级
2015-09-17星期四,26℃,18℃,多云,东北风~东风,微风
2015-09-18星期五,27℃,19℃,多云,东风,微风
2015-09-19星期六,28℃,20℃,多云,东风,3-4级
2015-09-20星期日,26℃,19℃,多云~晴,东风,3-4级
2015-09-21星期一,27℃,20℃,多云,东风,3-4级
2015-09-22星期二,26℃,21℃,阵雨~小雨,东风~东南风,3-4级
2015-09-23星期三,26℃,19℃,多云,西风~东风,微风
2015-09-24星期四,26℃,20℃,多云~小雨,东北风,3-4级
2015-09-25星期五,27℃,19℃,阴~多云,东风,3-4级
2015-09-26星期六,28℃,18℃,多云~晴,东北风,3-4级
2015-09-27星期日,27℃,18℃,晴,东北风,微风
2015-09-28星期一,27℃,20℃,多云~阵雨,东北风,微风~3-4级
2015-09-29星期二,25℃,21℃,阵雨,东风,5-6级
2015-09-30星期三,26℃,19℃,阵雨~中到大雨,东风,4-5级
2015-10-01星期四,23℃,14℃,多云~晴,西北风~南风,4-5级~3-4级
2015-10-02星期五,24℃,15℃,晴,南风~东南风,微风
2015-10-03星期六,25℃,17℃,多云,东风,微风
2015-10-04星期日,25℃,19℃,多云~小雨,东风,3-4级
2015-10-05星期一,23℃,18℃,阴~多云,东风~东南风,3-4级
2015-10-06星期二,24℃,19℃,阴~阵雨,东风,3-4级
2015-10-07星期三,22℃,18℃,阵雨,东风~东北风,3-4级~微风
2015-10-08星期四,19℃,15℃,阴~多云,东北风~北风,4-5级
2015-10-09星期五,22℃,12℃,多云~晴,西北风~西风,3-4级
2015-10-10星期六,23℃,10℃,晴~多云,西北风,3-4级~微风
2015-10-11星期日,20℃,10℃,晴,西北风,3-4级
2015-10-12星期一,22℃,11℃,晴,西北风,3-4级
2015-10-13星期二,24℃,13℃,晴~多云,东风~东南风,微风
2015-10-14星期三,24℃,13℃,多云,东南风,微风
2015-10-15星期四,25℃,14℃,晴,南风,3-4级
2015-10-16星期五,26℃,15℃,晴,东风,3-4级
2015-10-17星期六,26℃,14℃,晴,东风,微风
2015-10-18星期日,25℃,14℃,晴~多云,东风,微风
2015-10-19星期一,24℃,15℃,多云,东风,微风
2015-10-20星期二,25℃,16℃,多云,东风,3-4级
2015-10-21星期三,25℃,16℃,多云,东风,3-4级
2015-10-22星期四,25℃,16℃,多云,东风,微风
2015-10-23星期五,25℃,17℃,多云,东风,3-4级
