日期,最高气温,最低气温,天气,风向,风力
2015-10-24星期六,25℃,17℃,多云,东风~东北风,3-4级
2015-10-25星期日,23℃,16℃,多云~阴,东风,3-4级
2015-10-26星期一,24℃,14℃,小雨,东风~西北风,3-4级
2015-10-27星期二,19℃,11℃,多云,西北风~东北风,3-4级
2015-10-28星期三,20℃,12℃,阴,东风,3-4级
2015-10-29星期四,18℃,12℃,阴~多云,东北风,微风~3-4级
2015-10-30星期五,18℃,10℃,多云,东北风,4-5级~3-4级
2015-10-31星期六,17℃,11℃,多云~阵雨,东北风,3-4级
2015-11-01星期日,17℃,8℃,多云~晴,西北风~西风,微风
2015-11-02星期一,18℃,8℃,晴,西北风~东风,3-4级
2015-11-03星期二,20℃,11℃,多云,东南风,3-4级
2015-11-04星期三,21℃,14℃,阴,东南风,4-5级
2015-11-05星期四,23℃,16℃,阴~小雨,东风,3-4级
2015-11-06星期五,26℃,19℃,阵雨,东南风~西北风,3-4级
2015-11-07星期六,17℃,12℃,阵雨~小雨,西北风~北风,3-4级
2015-11-08星期日,13℃,9℃,阵雨~多云,西北风,3-4级
2015-11-09星期一,13℃,8℃,多云,北风,3-4级
2015-11-10星期二,15℃,9℃,多云,北风~东风,3-4级
2015-11-11星期三,16℃,10℃,阴,东风,微风
2015-11-12星期四,16℃,13℃,小雨,东风,3-4级
2015-11-13星期五,16℃,12℃,阴,西风,微风
2015-11-14星期六,17℃,10℃,多云,西北风,3-4级
2015-11-15星期日,18℃,11℃,阴~中雨,东风~东北风,微风~4-5级
2015-11-16星期一,17℃,13℃,阴~小雨,北风~东风,3-4级
2015-11-17星期二,15℃,12℃,小雨,东北风,3-4级
2015-11-18星期三,15℃,11℃,小雨~小到中雨,东北风,3-4级
2015-11-19星期四,14℃,11℃,小雨~阴,东风,微风
2015-11-20星期五,16℃,11℃,阴,东风,微风
2015-11-21星期六,16℃,13℃,阴~阵雨,东风,微风
2015-11-22星期日,17℃,14℃,小雨,东风,3-4级
2015-11-23星期一,16℃,10℃,小雨,北风~东北风,3-4级~4-5级
2015-11-24星期二,11℃,3℃,小雨~小到中雨,东北风,5-6级~4-5级
2015-11-25星期三,5℃,0℃,多云~晴,西北风,3-4级
2015-11-26星期四,3℃,-4℃,晴,西北风,3-4级~微风
2015-11-27星期五,5℃,-2℃,晴~多云,南风,3-4级
2015-11-28星期六,12℃,3℃,多云~阴,东南风,3-4级
2015-11-29星期日,16℃,6℃,多云~晴,东南风~西北风,微风
2015-11-30星期一,15℃,5℃,多云,东风,微风
2015-12-01星期二,17℃,10℃,多云~阴,东南风~西北风,微风~3-4级
2015-12-02星期三,12℃,3℃,多云~晴,西北风,4-5级
2015-12-03星期四,10℃,0℃,晴,西北风,3-4级~微风
2015-12-04星期五,9℃,2℃,晴~多云,西风,微风
2015-12-05星期六,8℃,4℃,阵雨,西风,微风
2015-12-06星期日,10℃,2℃,多云,东风,微风
2015-12-07星期一,12℃,3℃,晴,东风,微风
2015-12-08星期二,13℃,6℃,多云,东风,3-4级
2015-12-09星期三,12℃,8℃,小雨,东风,微风
2015-12-10星期四,12℃,7℃,阴~多云,西北风~北风,微风
2015-12-11星期五,10℃,1℃,多云,北风,3-4级
2015-12-12星期六,10℃,2℃,晴~多云,东北风,3-4级
2015-12-13星期日,9℃,3℃,多云~阴,北风,3-4级
2015-12-14星期一,10℃,4℃,阴,西北风~西风,微风
2015-12-15星期二,10℃,0℃,多云~晴,西北风,3-4级~4-5级
2015-12-16星期三,6℃,-3℃,晴,北风,3-4级
2015-12-17星期四,5℃,-3℃,晴,西风,3-4级
2015-12-18星期五,6℃,-2℃,多云,东风,3-4级
2015-12-19星期六,9℃,2℃,阴~小雨,东风,微风
2015-12-20星期日,8℃,2℃,小雨~阴,西南风~东风,3-4级~微风
2015-12-21星期一,8℃,0℃,多云~阴,东风,微风
2015-12-22星期二,11℃,6℃,阴,东风,3-4级
2015-12-23星期三,10℃,7℃,阴~小雨,东北风,3-4级
2015-12-24星期四,10℃,4℃,小雨~阴,北风~东北风,微风
2015-12-25星期五,10℃,2℃,多云~晴,西风,3-4级
2015-12-26星期六,14℃,4℃,晴~多云,西南风,微风
2015-12-27星期日,9℃,1℃,阴~多云,东北风,4-5级~3-4级
2015-12-28星期一,6℃,-1℃,多云,东北风~东风,3-4级
2015-12-29星期二,9℃,0℃,多云,东风,微风
2015-12-30星期三,11℃,0℃,晴,西风,3-4级
2015-12-31星期四,9℃,-1℃,晴,北风,3-4级
2016-01-01星期五,11℃,2℃,多云,东南风,微风
2016-01-02星期六,15℃,7℃,多云~阴,南风,3-4级
2016-01-03星期日,16℃,7℃,多云~阴,东南风,微风
2016-01-04星期一,13℃,7℃,小雨~小到中雨,北风,3-4级
2016-01-05星期二,10℃,6℃,小雨,东北风,微风
2016-01-06星期三,10℃,4℃,多云,东北风,微风
2016-01-07星期四,8℃,-1℃,阴~多云,东北风,微风
2016-01-08星期五,7℃,0℃,多云~阴,北风,微风
2016-01-09星期六,9℃,2℃,多云~阴,东南风,3-4级
2016-01-10星期日,11℃,4℃,小雨,东风,微风
2016-01-11星期一,7℃,1℃,小雨,东北风,微风
2016-01-12星期二,4℃,-1℃,阴,北风,微风
2016-01-13星期三,5℃,-1℃,多云,西北风,微风
2016-01-14星期四,7℃,-1℃,阴,西南风,微风
2016-01-15星期五,9℃,1℃,多云,西风,微风
2016-01-16星期六,10℃,2℃,阴~小雨,东风,微风
2016-01-17星期日,10℃,0℃,小雨~多云,北风,微风
2016-01-18星期一,4℃,-3℃,多云,西北风,微风
2016-01-19星期二,3℃,-4℃,多云,东北风,3-4级
2016-01-20星期三,5℃,-1℃,阴~雨夹雪,东北风,微风
2016-01-21星期四,4℃,0℃,雨夹雪,东北风,微风
2016-01-22星期五,7℃,-3℃,小雨~雨夹雪,东北风,微风
2016-01-23星期六,-4℃,-9℃,多云~阴,西北风,微风
2016-01-24星期日,-5℃,-9℃,多云,西北风,微风
2016-01-25星期一,1℃,-7℃,多云,西风,微风
2016-01-26星期二,5℃,-3℃,多云,西南风,微风
2016-01-27星期三,9℃,1℃,多云~小雨,东南风,微风
2016-01-28星期四,6℃,3℃,小雨,东北风,微风
2016-01-29星期五,7℃,1℃,小雨~雨夹雪,东北风,微风
2016-01-30星期六,7℃,0℃,小雨~阴,东北风,微风
2016-01-31星期日,3℃,-3℃,雨夹雪~阴,东北风,3-4级
2016-02-01星期一,1℃,-3℃,阴,北风,微风
2016-02-02星期二,5℃,-3℃,多云,西风,微风
2016-02-03星期三,6℃,-1℃,多云,东风,微风
2016-02-04星期四,8℃,-1℃,多云,东北风,微风
2016-02-05星期五,9℃,-1℃,多云,西北风,微风
2016-02-06星期六,6℃,-3℃,多云,西北风,3-4级
2016-02-07星期日,9℃,-1℃,多云,西风,微风
2016-02-08星期一,15℃,2℃,晴,西风,3-4级
2016-02-09星期二,19℃,3℃,多云,东南风,微风
2016-02-10星期三,20℃,7℃,多云~阴,东南风,微风
2016-02-11星期四,20℃,11℃,小雨,东南风,微风
2016-02-12星期五,23℃,12℃,小雨,东风,微风
2016-02-13星期六,16℃,0℃,小雨~阴,西风,微风
2016-02-14星期日,5℃,-3℃,阴,西北风,微风
2016-02-15星期一,6℃,-2℃,多云,西风,微风
2016-02-16星期二,9℃,-1℃,多云,西风,微风
2016-02-17星期三,11℃,2℃,多云,南风,微风
2016-02-18星期四,15℃,3℃,多云~阴,西风,微风
2016-02-19星期五,14℃,2℃,阴~多云,东风,微风
2016-02-20星期六,11℃,-1℃,多云~晴,北风,3-4级
2016-02-21星期日,12℃,2℃,多云~小雨,东南风,微风
2016-02-22星期一,8℃,2℃,小雨~多云,东南风,微风
2016-02-23星期二,11℃,0℃,多云,东北风,微风
2016-02-24星期三,9℃,0℃,多云,东风,微风
2016-02-25星期四,12℃,2℃,阴,南风,微风
2016-02-26星期五,16℃,6℃,阴,西风,微风
2016-02-27星期六,19℃,7℃,多云,西南风,微风
2016-02-28星期日,17℃,0℃,阴,西北风,微风
2016-02-29星期一,10℃,-1℃,多云,北风,微风
2016-03-01星期二,12℃,3℃,晴~多云,东南风,微风
2016-03-02星期三,19℃,6℃,多云,东南风,微风
2016-03-03星期四,20℃,11℃,阴~多云,东南风,微风
2016-03-04星期五,20℃,13℃,小雨~多云,东风,微风
2016-03-05星期六,23℃,8℃,多云,东北风,微风
2016-03-06星期日,20℃,9℃,多云,东风,微风
2016-03-07星期一,23℃,7℃,多云~小雨,东北风,微风
2016-03-08星期二,8℃,3℃,中雨~小雨,东北风,3-4级
2016-03-09星期三,8℃,2℃,多云,东北风,微风
2016-03-10星期四,9℃,0℃,多云,北风,微风
2016-03-11星期五,11℃,2℃,多云,东南风,微风
2016-03-12星期六,14℃,5℃,阴~多云,东南风,微风
2016-03-13星期日,16℃,4℃,阴~多云,北风,微风
2016-03-14星期一,15℃,3℃,多云,东风,微风
2016-03-15星期二,15℃,6℃,阴,东南风,微风
2016-03-16星期三,18℃,8℃,多云,东风,微风
2016-03-17星期四,17℃,11℃,小雨,东南风,微风
2016-03-18星期五,20℃,11℃,小雨~多云,东北风,微风
2016-03-19星期六,19℃,7℃,雾~多云,东风,微风
2016-03-20星期日,19℃,5℃,多云,东风,微风
2016-03-21星期一,19℃,8℃,阴~小雨,东风,微风
2016-03-22星期二,16℃,9℃,多云~阴,东风,3-4级
2016-03-23星期三,13℃,4℃,多云,东北风,4-5级
2016-03-24星期四,12℃,3℃,多云,东北风,3-4级
2016-03-25星期五,15℃,2℃,多云,东北风,微风
2016-03-26星期六,16℃,4℃,阴~多云,西北风,微风
2016-03-27星期日,18℃,7℃,多云,西北风,微风
2016-03-28星期一,20℃,9℃,多云,西南风,3-4级
2016-03-29星期二,21℃,13℃,多云,西南风,3-4级
2016-03-30星期三,22℃,12℃,小雨,南风,微风
2016-03-31星期四,19℃,10℃,小雨~多云,南风,微风
2016-04-01星期五,24℃,13℃,多云,东南风,3-4级
2016-04-02星期六,20℃,13℃,小雨~中雨,东南风,4-5级
2016-04-03星期日,14℃,7℃,小雨~阴,东北风,微风
2016-04-04星期一,19℃,9℃,多云,东风,微风
2016-04-05星期二,20℃,11℃,阴~小雨,东风,微风
2016-04-06星期三,15℃,11℃,中雨,东风,微风
2016-04-07星期四,21℃,11℃,阴,西北风,微风
2016-04-08星期五,24℃,12℃,阴,东南风,微风
2016-04-09星期六,25℃,12℃,阴,东南风,微风
2016-04-10星期日,25℃,10℃,阴,东风,微风
2016-04-11星期一,22℃,12℃,阴~小雨,东风,微风
2016-04-12星期二,23℃,15℃,多云,东南风,3-4级
2016-04-13星期三,27℃,16℃,多云,西风,微风
2016-04-14星期四,29℃,14℃,阴,东南风,微风
2016-04-15星期五,27℃,17℃,多云~小雨,东南风,微风
2016-04-16星期六,21℃,10℃,小雨~多云,西北风,微风
2016-04-17星期日,21℃,10℃,多云~小雨,西北风,微风
2016-04-18星期一,22℃,10℃,多云~晴,南风,微风
2016-04-19星期二,24℃,13℃,晴~小雨,东南风,微风
2016-04-20星期三,18℃,15℃,中雨~小雨,东南风,微风
2016-04-21星期四,26℃,15℃,多云,西北风,微风
2016-04-22星期五,28℃,16℃,阴~小雨,西南风,微风
2016-04-23星期六,17℃,13℃,小雨~多云,东风,微风
2016-04-24星期日,20℃,11℃,阴,东风,微风
2016-04-25星期一,22℃,13℃,阴,东南风,微风
2016-04-26星期二,17℃,12℃,小雨,东北风,微风
2016-04-27星期三,15℃,11℃,阵雨~多云,北风,3-4级
2016-04-28星期四,26℃,9℃,阴~晴,西北风,微风
2016-04-29星期五,27℃,13℃,晴,南风,微风
2016-04-30星期六,30℃,14℃,晴~阴,南风,微风
2016-05-01星期日,31℃,19℃,阴~多云,东南风,微风
2016-05-02星期一,26℃,15℃,暴雨~小雨,西南风,微风
2016-05-03星期二,25℃,12℃,晴,西风,微风
2016-05-04星期三,30℃,19℃,阴,南风,微风
2016-05-05星期四,28℃,19℃,小雨~阴,东南风,微风
2016-05-06星期五,31℃,14℃,阴,东北风,微风
2016-05-07星期六,24℃,14℃,阴~小雨,东风,微风
2016-05-08星期日,17℃,14℃,阵雨,东风,3-4级
2016-05-09星期一,20℃,15℃,阵雨,东风,微风
2016-05-10星期二,20℃,13℃,多云~晴,北风,3-4级
2016-05-11星期三,28℃,14℃,晴~多云,南风,微风
2016-05-12星期四,30℃,15℃,晴~多云,南风,微风
2016-05-13星期五,25℃,12℃,多云~小雨,东风,微风
2016-05-14星期六,29℃,18℃,阴~小雨,东南风,微风
2016-05-15星期日,18℃,13℃,中雨~多云,西北风,4-5级
2016-05-16星期一,25℃,9℃,晴,南风,微风
2016-05-17星期二,26℃,9℃,阴,东南风,微风
2016-05-18星期三,27℃,13℃,阴,东南风,微风
2016-05-19星期四,28℃,16℃,多云~阴,东风,微风
2016-05-20星期五,26℃,17℃,小雨,东风,微风
2016-05-21星期六,19℃,17℃,中雨~小雨,东北风,微风
2016-05-22星期日,22℃,17℃,小雨~阴,东北风,微风
2016-05-23星期一,26℃,17℃,阴~小雨,西风,微风
2016-05-24星期二,27℃,17℃,阴,南风,微风
2016-05-25星期三,30℃,21℃,小雨,东南风,微风
2016-05-26星期四,27℃,19℃,小雨,西北风,微风
2016-05-27星期五,22℃,17℃,中雨~小雨,东风,微风
2016-05-28星期六,24℃,19℃,小雨~阴,东风,微风
2016-05-29星期日,26℃,16℃,阴~多云,西北风,微风
2016-05-30星期一,28℃,19℃,小雨~多云,东南风,微风
2016-05-31星期二,30℃,20℃,小雨,东风,微风
2016-06-01星期三,21℃,15℃,小雨~多云,东北风,微风
2016-06-02星期四,25℃,18℃,多云~阵雨,东南风,1-2级
2016-06-03星期五,22℃,18℃,小雨,东风,1-2级
2016-06-04星期六,23℃,16℃,小雨~多云,西北风,1-2级
2016-06-05星期日,28℃,17℃,多云~晴,东风,1-2级
2016-06-06星期一,29℃,19℃,小雨,东风,1-2级
2016-06-07星期二,27℃,19℃,小雨,东北风,1-2级
2016-06-08星期三,26℃,18℃,小雨,东北风,1-2级
2016-06-09星期四,27℃,19℃,小雨~阴,东风,1-2级
2016-06-10星期五,30℃,22℃,小雨~阴,东南风,1-2级
2016-06-11星期六,32℃,22℃,小雨,南风,1-2级
2016-06-12星期日,24℃,17℃,小雨~多云,东北风,1-2级
2016-06-13星期一,31℃,21℃,小雨~多云,东南风,1-2级
2016-06-14星期二,33℃,24℃,多云~小雨,南风,1-2级
2016-06-15星期三,32℃,22℃,阴,西风,1-2级
2016-06-16星期四,30℃,20℃,多云~晴,南风,1-2级
2016-06-17星期五,32℃,21℃,晴,南风,1-2级
2016-06-18星期六,33℃,25℃,多云~雷阵雨,南风,3-4级
2016-06-19星期日,33℃,24℃,中雨,西南风,1-2级
2016-06-20星期一,32℃,24℃,小雨,西南风,1-2级
2016-06-21星期二,31℃,26℃,大雨~小雨,西南风,1-2级
2016-06-22星期三,32℃,26℃,小雨,西风,1-2级
2016-06-23星期四,32℃,26℃,小雨,南风,1-2级
2016-06-24星期五,25℃,20℃,小雨,北风,1-2级
2016-06-25星期六,27℃,18℃,小雨~多云,西南风,1-2级
2016-06-26星期日,30℃,20℃,多云~小雨,东南风,1-2级
2016-06-27星期一,22℃,19℃,小雨~阴,东风,1-2级
2016-06-28星期二,25℃,20℃,小雨~阴,南风,1-2级
2016-06-29星期三,30℃,23℃,小雨,南风,1-2级
2016-06-30星期四,33℃,25℃,多云~中雨,西南风,3-4级
2016-07-01星期五,26℃,23℃,大雨~大到暴雨,西南风,4-5级
2016-07-02星期六,27℃,23℃,小雨~大雨,东南风,1-2级
2016-07-03星期日,25℃,22℃,小雨~中雨,东风,1-2级
2016-07-04星期一,27℃,23℃,中雨~小雨,南风,1-2级
2016-07-05星期二,26℃,23℃,小雨,西风,1-2级
2016-07-06星期三,29℃,24℃,中雨~小雨,东南风,1-2级
2016-07-07星期四,31℃,23℃,小雨~多云,东南风,1-2级
2016-07-08星期五,31℃,23℃,小雨~阴,东风,1-2级
2016-07-09星期六,30℃,24℃,小雨~阴,东风,1-2级
2016-07-10星期日,26℃,23℃,小雨,东风,1-2级
2016-07-11星期一,30℃,23℃,小雨~多云,东风,1-2级
2016-07-12星期二,32℃,25℃,小雨~阴,东北风,1-2级
2016-07-13星期三,32℃,26℃,小雨,东南风,1-2级
2016-07-14星期四,31℃,23℃,小雨,东风,1-2级
2016-07-15星期五,31℃,22℃,小雨,西南风,1-2级
2016-07-16星期六,29℃,22℃,阴~多云,西北风,1-2级
2016-07-17星期日,31℃,24℃,小雨~晴,东南风,1-2级
2016-07-18星期一,32℃,25℃,小雨~阴,东风,1-2级
2016-07-19星期二,31℃,26℃,小雨,东南风,1-2级
2016-07-20星期三,35℃,27℃,阴~多云,西南风,1-2级
2016-07-21星期四,36℃,27℃,小雨~多云,西南风,1-2级
2016-07-22星期五,34℃,27℃,小雨~多云,西南风,1-2级
2016-07-23星期六,37℃,27℃,多云~晴,西南风,1-2级
2016-07-24星期日,36℃,27℃,多云,东南风,1-2级
2016-07-25星期一,36℃,27℃,晴~多云,东南风,1-2级
2016-07-26星期二,38℃,28℃,多云~小雨,西南风,1-2级
2016-07-27星期三,35℃,28℃,小雨~多云,西风,1-2级
2016-07-28星期四,37℃,28℃,小雨~多云,西南风,1-2级
2016-07-29星期五,37℃,28℃,多云~小雨,西南风,1-2级
2016-07-30星期六,36℃,26℃,小雨~多云,东南风,1-2级
2016-07-31星期日,35℃,26℃,多云~晴,东南风,1-2级
2016-08-01星期一,34℃,26℃,多云~阴,东南风,1-2级
2016-08-02星期二,34℃,27℃,小雨,东风,1-2级
2016-08-03星期三,30℃,26℃,小雨,南风,1-2级
2016-08-04星期四,31℃,25℃,中雨~小雨,东风,1-2级
2016-08-05星期五,33℃,26℃,小雨~多云,东北风,1-2级
2016-08-06星期六,32℃,26℃,小雨~阴,东南风,1-2级
2016-08-07星期日,34℃,26℃,小雨~阴,东风,1-2级
2016-08-08星期一,33℃,26℃,小雨~多云,东风,1-2级
2016-08-09星期二,34℃,27℃,小雨~多云,东风,1-2级
2016-08-10星期三,33℃,27℃,小雨~多云,东风,1-2级
2016-08-11星期四,35℃,26℃,多云~阴,东风,1-2级
2016-08-12星期五,35℃,27℃,小雨~多云,东风,1-2级
2016-08-13星期六,36℃,27℃,多云,东南风,1-2级
2016-08-14星期日,35℃,26℃,多云,东南风,1-2级
2016-08-15星期一,35℃,26℃,多云,东风,1-2级
2016-08-16星期二,35℃,26℃,多云,东风,1-2级
2016-08-17星期三,35℃,26℃,多云,东风,1-2级
2016-08-18星期四,35℃,27℃,多云,东风,1-2级
2016-08-19星期五,37℃,28℃,晴,东南风,3-4级
2016-08-20星期六,34℃,27℃,雷阵雨~多云,东南风,3-4级
2016-08-21星期日,33℃,27℃,雷阵雨~多云,北风,3-4级
2016-08-22星期一,34℃,26℃,多云,东风,1-2级
2016-08-23星期二,34℃,24℃,多云,东北风,1-2级
2016-08-24星期三,33℃,25℃,晴,东风,1-2级
2016-08-25星期四,34℃,25℃,多云,东北风,3-4级
2016-08-26星期五,30℃,23℃,阵雨~阴,北风,4-5级
2016-08-27星期六,28℃,22℃,多云,北风,1-2级
2016-08-28星期日,30℃,19℃,晴,北风,3-4级
2016-08-29星期一,31℃,20℃,晴,北风,3-4级
2016-08-30星期二,30℃,21℃,晴,西北风,3-4级
2016-08-31星期三,31℃,23℃,多云,西风,4-5级
